Time resolution is 1 ps
Time: 0 | CLK: 0 | Reset: 1 | Counter:   0 | PWM Out: 0
Time: 5000 | CLK: 1 | Reset: 1 | Counter:   0 | PWM Out: 0
Time: 10000 | CLK: 0 | Reset: 0 | Counter:   0 | PWM Out: 0
Time: 15000 | CLK: 1 | Reset: 0 | Counter:   1 | PWM Out: 1
Time: 20000 | CLK: 0 | Reset: 0 | Counter:   1 | PWM Out: 1
Time: 25000 | CLK: 1 | Reset: 0 | Counter:   2 | PWM Out: 1
Time: 30000 | CLK: 0 | Reset: 0 | Counter:   2 | PWM Out: 1
Time: 35000 | CLK: 1 | Reset: 0 | Counter:   3 | PWM Out: 1
Time: 40000 | CLK: 0 | Reset: 0 | Counter:   3 | PWM Out: 1
Time: 45000 | CLK: 1 | Reset: 0 | Counter:   4 | PWM Out: 1
Time: 50000 | CLK: 0 | Reset: 0 | Counter:   4 | PWM Out: 1
Time: 55000 | CLK: 1 | Reset: 0 | Counter:   5 | PWM Out: 1
Time: 60000 | CLK: 0 | Reset: 0 | Counter:   5 | PWM Out: 1
Time: 65000 | CLK: 1 | Reset: 0 | Counter:   6 | PWM Out: 1
Time: 70000 | CLK: 0 | Reset: 0 | Counter:   6 | PWM Out: 1
Time: 75000 | CLK: 1 | Reset: 0 | Counter:   7 | PWM Out: 1
Time: 80000 | CLK: 0 | Reset: 0 | Counter:   7 | PWM Out: 1
Time: 85000 | CLK: 1 | Reset: 0 | Counter:   8 | PWM Out: 1
Time: 90000 | CLK: 0 | Reset: 0 | Counter:   8 | PWM Out: 1
Time: 95000 | CLK: 1 | Reset: 0 | Counter:   9 | PWM Out: 1
Time: 100000 | CLK: 0 | Reset: 0 | Counter:   9 | PWM Out: 1
Time: 105000 | CLK: 1 | Reset: 0 | Counter:  10 | PWM Out: 1
Time: 110000 | CLK: 0 | Reset: 0 | Counter:  10 | PWM Out: 1
Time: 115000 | CLK: 1 | Reset: 0 | Counter:  11 | PWM Out: 1
Time: 120000 | CLK: 0 | Reset: 0 | Counter:  11 | PWM Out: 1
Time: 125000 | CLK: 1 | Reset: 0 | Counter:  12 | PWM Out: 1
Time: 130000 | CLK: 0 | Reset: 0 | Counter:  12 | PWM Out: 1
Time: 135000 | CLK: 1 | Reset: 0 | Counter:  13 | PWM Out: 1
Time: 140000 | CLK: 0 | Reset: 0 | Counter:  13 | PWM Out: 1
Time: 145000 | CLK: 1 | Reset: 0 | Counter:  14 | PWM Out: 1
Time: 150000 | CLK: 0 | Reset: 0 | Counter:  14 | PWM Out: 1
Time: 155000 | CLK: 1 | Reset: 0 | Counter:  15 | PWM Out: 1
Time: 160000 | CLK: 0 | Reset: 0 | Counter:  15 | PWM Out: 1
Time: 165000 | CLK: 1 | Reset: 0 | Counter:  16 | PWM Out: 1
Time: 170000 | CLK: 0 | Reset: 0 | Counter:  16 | PWM Out: 1
Time: 175000 | CLK: 1 | Reset: 0 | Counter:  17 | PWM Out: 1
Time: 180000 | CLK: 0 | Reset: 0 | Counter:  17 | PWM Out: 1
Time: 185000 | CLK: 1 | Reset: 0 | Counter:  18 | PWM Out: 1
Time: 190000 | CLK: 0 | Reset: 0 | Counter:  18 | PWM Out: 1
Time: 195000 | CLK: 1 | Reset: 0 | Counter:  19 | PWM Out: 1
Time: 200000 | CLK: 0 | Reset: 0 | Counter:  19 | PWM Out: 1
Time: 205000 | CLK: 1 | Reset: 0 | Counter:  20 | PWM Out: 1
Time: 210000 | CLK: 0 | Reset: 0 | Counter:  20 | PWM Out: 1
Time: 215000 | CLK: 1 | Reset: 0 | Counter:  21 | PWM Out: 1
Time: 220000 | CLK: 0 | Reset: 0 | Counter:  21 | PWM Out: 1
Time: 225000 | CLK: 1 | Reset: 0 | Counter:  22 | PWM Out: 1
Time: 230000 | CLK: 0 | Reset: 0 | Counter:  22 | PWM Out: 1
